API,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,GOR_30,GOR_60,GOR_90
05001100010000,9802,,,2006.316274781005,1747.1663531568029,1684.216633788107
05001100330000,9456,1821.757,1174.746,1726.4325323475039,1808.215007334827,1543.151584825094
05005072950000,7302,,,1612.827901430842,1576.4405280571289,1146.1469734197
05123371740000,9056,1025.868,790.7205,2300.919963201471,2290.231374581782,2171.635751513385
05123377360000,4101,,,3786.669638876504,3838.0965789103193,4012.1426205983003
05123378210000,4161,916.0801,839.928,2399.4905048633623,2291.864861568483,2472.275585050646
05123378650100,4129,831.1531,,3907.5491209927613,4122.576934138625,4553.377379813961
05123379840000,4706,990.7260000000001,726.2338,2711.777913859971,2969.4123172664818,3437.182049418604
05123380130000,4539,1032.233,755.1343,1758.110772539881,1323.960531569041,1182.969280306326
05001100200000,7198,,,2146.966493689538,2580.163415301614,2740.998239115914
05123331840000,4012,,,3247.30323611666,3476.586102719033,3580.817730225448
05123362810000,3880,,,1780.6277816818922,1675.56946849607,1713.4574305767471
05123378830000,5127,531.6008,821.0627,4896.290909090909,4854.55715549835,5284.324070817212
05123377810000,7225,661.5884,477.7138,5053.053373938131,5212.441012441012,5510.159831495477
05123376960000,3993,754.6908,1102.2269999999999,3538.6947923533285,3894.2953020134223,3649.4816862474077
05123376250000,4081,1005.939,1382.531,1001.797135155135,1064.9889019454229,1146.717040125065
05123375990000,3961,991.9142,669.3919999999999,2749.070039324051,3132.4595835273763,3022.743004054187
05123375140000,4104,624.5444,997.5163,2970.478325859491,3008.072553318716,3049.710564399421
05123374220000,4133,938.7385,619.2685,1411.233248004818,1468.04142117479,1378.192730910303
05123374200000,3944,931.8636,585.5887,1346.452702702702,1300.4331683168311,1410.099931344877
05123374170000,4207,861.6631,578.2805,1272.212242641978,1357.804519089256,1376.419721218378
05123372580000,4226,1008.5160000000001,409.4008,2025.560853591808,1835.609948677457,1801.149519217673
05123372160000,3876,947.3331,621.9636,2452.484742807323,2683.8701496322587,2810.944363103953
05123371790000,9213,957.7669999999999,773.6118,2053.19969159599,2052.958282071356,2073.551542513167
05123370110000,4514,819.8494,1189.855,11281.082529474812,10579.328597297672,10593.51972258344
05123385320000,6843,708.0206,694.8844,1341.3770913770911,1147.26123202596,1197.119410484006
05123385750000,7280,952.8716,675.6364,1502.329521389241,1579.2944279591159,1555.454249430153
05123369490000,7091,662.9541,1214.5810000000001,1000.0,1290.280324862457,1469.290231904427
05123387080000,4262,793.2744,461.6017,1680.006707282991,1666.2500422254502,1833.351041223969
05123365290000,6677,256.0133,1075.095,1835.3377686796312,1927.799808560098,2428.1317885590147
05123365200000,4101,351.3736,444.7654,11806.277587052475,11233.929921855306,11746.953471196455
05123352940000,4169,,,1750.763807285546,1771.865397586749,1652.633402633402
05123346390000,7524,648.3477,1034.932,5045.251623376623,4680.79433022244,4506.131711085361
05123390330000,9188,969.5651,701.0484,2806.533533417984,2667.270023918805,3042.5785913251093
05005072450000,7345,999.8398,1088.289,1582.234468280522,1406.709297264722,1367.641387445838
05123367400000,3927,,,3308.5740486015584,2762.5797306874547,3162.784495021337
05123365000000,7013,810.3468,1170.901,,,
05123363830200,3015,529.0228,999.6916,2072.229667771742,2044.780998038788,1934.54242760569
05005072100100,3767,3380.7470000000003,3066.687,,,
05001101300000,9552,,,1009.588818462538,1009.588818462538,1009.588818462538
05123391720000,8918,538.9272,747.5239999999999,2707.011960934928,3323.598534595977,3159.456034755849
05001097720000,4358,760.4881,934.0413,2841.9402595140637,3126.395856934779,3270.499448825574
05123367730000,5880,1113.721,1046.376,1715.7249233464731,1754.789036033261,1602.013456771386
05123369450000,3858,,,1127.823014287909,1070.502073590399,1109.397278029812
05123371100000,4241,556.3128,907.9096,2563.958165728077,2947.375856466765,2528.11007612653
05123371910000,5706,792.9496,1139.229,6159.548355424644,6599.702933531377,7002.9109125372315
05123392360000,8936,,,2260.063060480733,2341.716075623671,2435.889697239254
05123372570000,9274,1351.96,796.0818,1536.194471334839,1558.673751798959,1702.825111196864
05123372980000,4066,905.8632,631.5,1746.487119437939,1944.7593342330179,1781.7248020543539
05123372990000,4038,,,1841.666666666666,1614.9118314187451,1767.720040057861
05123396810000,4655,823.0591,1142.508,3726.486354775828,4071.737660581473,4182.515637216575
05123374000100,4368,963.3162,858.1181,4541.567695961995,3924.129114733141,3855.223740872495
